original,candidate,original_tokens,candidate_tokens,status,reason
configuración,config,6,5,ACCEPT,clear saving
correcto,ok,6,5,ACCEPT,clear saving
comprobar,check,7,5,ACCEPT,clear saving
siguiente,next,6,5,ACCEPT,clear saving
porque,pq,5,5,REJECT,no saving
porque,xq,5,6,REJECT,regression
también,tb,6,5,REJECT,omit connector or keep readability
también,tmb,6,6,REJECT,no saving
para,pa,5,5,REJECT,no saving
configuración,cfg,6,5,REJECT,config ties with better readability
comportamiento,beh,7,5,REJECT,poor reconstructability
error,fail,5,5,REJECT,no saving
