alias,status,expansion_tokens,alias_tokens,frequency,total_estimated_gain,reason
lorem,ACCEPT,25,6,9,171,reserved and observed
testok,ACCEPT,16,6,10,100,observed
buildok,ACCEPT,13,6,2,14,observed
partial,ACCEPT,14,5,10,90,observed
runtime?,ACCEPT,18,6,9,108,observed
evidence?,ACCEPT,15,7,8,64,observed
blocked:<cause>,ACCEPT,14,5,6,54,observed and parameterized
cause?,ACCEPT,14,6,4,32,observed
rollback,ACCEPT,19,5,7,98,observed
fail:<cause>,REJECT,,,0,0,unused in development
cause!,REJECT,,,0,0,unused in development
skip:<reason>,REJECT,,,0,0,unused in development
same,REJECT,,,0,0,unused in development
